"Month","Point figure"
"2005M01",1575
"2005M02",1585
"2005M03",1591
"2005M04",1595
"2005M05",1591
"2005M06",1595
"2005M07",1591
"2005M08",1595
"2005M09",1604
"2005M10",1603
"2005M11",1598
"2005M12",1600
"2006M01",1595
"2006M02",1607
"2006M03",1612
"2006M04",1621
"2006M05",1623
"2006M06",1624
"2006M07",1620
"2006M08",1626
"2006M09",1629
"2006M10",1633
"2006M11",1634
"2006M12",1635
"2007M01",1632
"2007M02",1642
"2007M03",1655
"2007M04",1663
"2007M05",1661
"2007M06",1663
"2007M07",1662
"2007M08",1664
"2007M09",1671
"2007M10",1677
"2007M11",1680
"2007M12",1678
"2008M01",1695
"2008M02",1703
"2008M03",1719
"2008M04",1721
"2008M05",1730
"2008M06",1736
"2008M07",1734
"2008M08",1742
"2008M09",1750
"2008M10",1750
"2008M11",1741
"2008M12",1736
"2009M01",1732
"2009M02",1733
"2009M03",1734
"2009M04",1734
"2009M05",1731
"2009M06",1735
"2009M07",1724
"2009M08",1729
"2009M09",1732
"2009M10",1723
"2009M11",1725
"2009M12",1726
"2010M01",1729
"2010M02",1735
"2010M03",1744
"2010M04",1749
"2010M05",1747
"2010M06",1751
"2010M07",1742
"2010M08",1749
"2010M09",1757
"2010M10",1764
"2010M11",1768
"2010M12",1777
"2011M01",1783
"2011M02",1794
"2011M03",1804
"2011M04",1807
"2011M05",1808
"2011M06",1813
"2011M07",1808
"2011M08",1815
"2011M09",1823
"2011M10",1827
"2011M11",1829
"2011M12",1828
"2012M01",1840
"2012M02",1850
"2012M03",1857
"2012M04",1863
"2012M05",1864
"2012M06",1865
"2012M07",1861
"2012M08",1865
"2012M09",1872
"2012M10",1875
"2012M11",1869
"2012M12",1871
"2013M01",1870
"2013M02",1881
"2013M03",1889
"2013M04",1892
"2013M05",1892
"2013M06",1891
"2013M07",1891
"2013M08",1888
"2013M09",1894
"2013M10",1897
"2013M11",1894
"2013M12",1901
"2014M01",1900
"2014M02",1905
"2014M03",1909
"2014M04",1912
"2014M05",1907
"2014M06",1909
"2014M07",1907
"2014M08",1909
"2014M09",1920
"2014M10",1916
"2014M11",1913
"2014M12",1910
"2015M01",1897
"2015M02",1902
"2015M03",1908
"2015M04",1908
"2015M05",1907
"2015M06",1907
"2015M07",1902
"2015M08",1906
"2015M09",1908
"2015M10",1911
